Date,Open,High,Low,Close,Volume,Adj Close
20131122,1033.42,1036.17,1029.22,1031.89,1254200,1031.89
20131121,1027,1038.31,1026,1034.07,1091800,1034.07
20131120,1029.95,1033.36,1020.36,1022.31,963700,1022.31
20131119,1031.72,1034.75,1023.05,1025.2,1116400,1025.2
20131118,1035.75,1048.74,1029.24,1031.55,1759700,1031.55
20131115,1034.87,1038,1030.31,1033.56,1276300,1033.56
20131114,1033.92,1039.75,1030.35,1035.23,1166700,1035.23
20131113,1006.75,1032.85,1006.5,1032.47,1579400,1032.47
20131112,1007.7,1017.56,1005,1011.78,1218100,1011.78
20131111,1009.51,1015.93,1008,1010.59,1112600,1010.59
20131108,1008.75,1018.5,1008.5,1016.03,1290800,1016.03
20131107,1022.61,1023.93,1007.64,1007.95,1679600,1007.95
20131106,1025.6,1027,1015.37,1022.75,912900,1022.75
20131105,1020.35,1031.65,1017.42,1021.52,1181400,1021.52
20131104,1031.5,1032.37,1022.03,1026.11,1138800,1026.11
20131101,1031.79,1036,1025.1,1027.04,1283300,1027.04
20131031,1028.93,1041.52,1023.97,1030.58,1616400,1030.58
20131030,1037.43,1037.51,1026,1030.42,1324100,1030.42
20131029,1019.1,1036.94,1013.5,1036.24,1605000,1036.24
20131028,1015.2,1023.43,1012.99,1015,1158700,1015
20131025,1028.82,1028.82,1010.74,1015.2,2030500,1015.2
20131024,1031.87,1040.57,1024.8,1025.55,2092100,1025.55
20131023,1001,1034.75,1000.63,1031.41,2663200,1031.41
20131022,1005,1013,995.79,1007,2208600,1007
20131021,1011.46,1019,999.55,1003.3,3628300,1003.3
20131018,976.58,1015.46,974,1011.41,11566400,1011.41
20131017,892.99,896.9,885.73,888.79,4256600,888.79
20131016,885.87,898.33,884.01,898.03,2007600,898.03
20131015,875.76,885.63,874,882.01,1591900,882.01
20131014,866.66,876.25,865.39,876.11,1243600,876.11
20131011,866.03,873.48,865.3,871.99,1408900,871.99
20131010,863.84,868.83,860.21,868.24,2255300,868.24
20131009,856.28,862.65,842.98,855.86,2651300,855.86
20131008,865.32,865.98,851.63,853.67,1943700,853.67
20131007,867.45,873.99,864.11,865.74,1293600,865.74
20131004,875,877.51,870,872.35,1358000,872.35
20131003,888,894.1,872.1,876.09,2117000,876.09
20131002,882.73,889.36,877.82,887.99,1495300,887.99
20131001,880.25,887.67,880.05,887,1684800,887
20130930,869.08,880.84,868.31,875.91,1722400,875.91
20130927,874.82,877.52,871.31,876.39,1258800,876.39
20130926,878.3,882.75,875,878.17,1259900,878.17
20130925,886.55,886.55,875.6,877.23,1649000,877.23
20130924,886.5,890.1,881.4,886.84,1486800,886.84
20130923,896.15,901.59,885.2,886.5,1777400,886.5
20130920,898.39,904.13,895.62,903.11,4345300,903.11
20130919,905.99,905.99,895.4,898.39,1597900,898.39
20130918,886.35,903.97,883.07,903.32,1934700,903.32
20130917,887.41,888.39,881,886.11,1259400,886.11
20130916,896.2,897,884.87,887.76,1336500,887.76
20130913,894.5,895.68,884.84,889.07,1325400,889.07
20130912,897.4,897.9,890.01,893.06,1095500,893.06
20130911,888.54,896.97,886.08,896.19,1610600,896.19
20130910,890.02,892,884,888.67,1287600,888.67
20130909,883.73,889.75,882.42,888.05,1234600,888.05
20130906,882.44,883.78,873.74,879.58,1561600,879.58
20130905,873.5,879.88,871.61,879.56,1291300,879.56
20130904,860.35,873.5,855.17,871.63,2041200,871.63
20130903,854.36,866.19,853.95,860.38,2047600,860.38
20130830,855.76,858.04,845.56,846.9,1861600,846.9
20130829,849.07,860.38,848.59,855.43,1478500,855.43
20130828,850.25,855.41,847.77,848.55,1329900,848.55
20130827,859.62,863.73,847.9,850.15,1734100,850.15
20130826,870,874.9,866.05,866.39,1052500,866.39
20130823,877.83,878,869.75,870.21,1077100,870.21
20130822,872.7,874.75,870.25,873.71,869900,873.71
20130821,870.65,876.91,866.5,869.33,1757300,869.33
20130820,868.35,872.11,863.54,865.42,1233000,865.42
20130819,857.71,872,857.45,865.65,1810900,865.65
20130816,861.28,862.44,856.54,856.91,1675100,856.91
20130815,864.44,864.92,858,859.66,1869200,859.66
20130814,878.37,880.23,867.16,869.81,2082200,869.81
20130813,886.83,888.5,876.2,881.25,1419800,881.25
20130812,886.9,887,881.65,885.51,1377000,885.51
20130809,890.56,895.52,890,890.41,1323700,890.41
20130808,895.49,895.84,885.29,892.66,1488000,892.66
20130807,895.04,898.45,889.09,890.65,1379200,890.65
20130806,904.69,909.71,895.73,896.57,1506100,896.57
20130805,905.39,905.52,899.2,905,1309700,905
20130802,903.44,907,900.82,906.57,1713900,906.57
20130801,895,904.55,895,904.22,2138400,904.22
20130731,892.99,896.51,886.18,887.75,2173500,887.75
20130730,885.46,895.61,880.87,890.92,1755600,890.92
20130729,884.9,894.82,880.89,882.27,1891900,882.27
20130726,886.99,889.99,882,885.35,1777700,885.35
20130725,893.87,896.85,886.08,887.7,3001100,887.7
20130724,907.26,910.3,900.7,902.9,2078500,902.9
20130723,910.7,913,899.57,903.8,2045700,903.8
20130722,902,912.67,897,910.7,2903200,910.7
20130719,886.61,902.95,875.61,896.6,7359300,896.6
20130718,918.99,920,903.19,910.68,3634500,910.68
20130717,921,926.86,916.3,918.55,1506100,918.55
20130716,927.13,927.97,913.9,919.61,1983000,919.61
20130715,924.3,928,916.36,924.69,1960500,924.69
20130712,920,923,915.24,923,2568200,923
20130711,913,920.81,908.52,920.24,2584200,920.24
20130710,903.45,911.14,900.38,905.99,1708400,905.99
20130709,911,912.95,897.98,905.24,1979400,905.24
20130708,899.21,906.27,897.08,905.09,1969500,905.09
20130705,890.01,895.41,887.34,893.49,1701900,893.49
20130703,879.9,889.17,878.5,886.43,1047000,886.43
20130702,890.2,891,877.27,882.31,1891500,882.31
20130701,886.45,892.08,885,887.88,1724800,887.88
