Date,Open,High,Low,Close,Volume,Adj Close,EMA5,EMA10,EMA20,EMA60,EMA120
11/21/13,1027,1038.31,1026,1034.07,1091800,1034.07,1029.338,1025.279,1024.28,939.2731667,912.95525
11/20/13,1029.95,1033.36,1020.36,1022.31,963700,1022.31,1029.57,1022.667,1023.854,936.1811667,911.4971667
11/19/13,1031.72,1034.75,1023.05,1025.2,1116400,1025.2,1031.602,1022.711,1024.309,933.3118333,910.2081667
11/18/13,1035.75,1048.74,1029.24,1031.55,1759700,1031.55,1028.918,1022.343,1023.399,930.665,908.925
11/15/13,1034.87,1038,1030.31,1033.56,1276300,1033.56,1024.726,1021.799,1021.9865,927.976,907.5850833
11/14/13,1033.92,1039.75,1030.35,1035.23,1166700,1035.23,1021.22,1021.147,1020.879,925.3118333,906.208
11/13/13,1006.75,1032.85,1006.5,1032.47,1579400,1032.47,1015.764,1020.682,1013.557,922.5468333,904.925
11/12/13,1007.7,1017.56,1005,1011.78,1218100,1011.78,1013.82,1020.477,1006.835,919.7626667,903.59875
11/11/13,1009.51,1015.93,1008,1010.59,1112600,1010.59,1015.768,1022.923,1000.3465,917.3271667,902.5238333
11/8/13,1008.75,1018.5,1008.5,1016.03,1290800,1016.03,1018.872,1023.364,993.6225,914.7658333,901.5140833
11/7/13,1022.61,1023.93,1007.64,1007.95,1679600,1007.95,1021.074,1023.281,986.4205,912.1596667,900.60525
11/6/13,1025.6,1027,1015.37,1022.75,912900,1022.75,1025.6,1025.041,979.435,909.8573333,899.77675
11/5/13,1020.35,1031.65,1017.42,1021.52,1181400,1021.52,1027.134,1025.907,971.0905,907.499,898.8303333
11/4/13,1031.5,1032.37,1022.03,1026.11,1138800,1026.11,1030.078,1024.455,962.698,905.2321667,897.8499167
11/1/13,1031.79,1036,1025.1,1027.04,1283300,1027.04,1027.856,1022.174,954.6795,902.9705,896.9314167
10/31/13,1028.93,1041.52,1023.97,1030.58,1616400,1030.58,1025.488,1020.611,946.945,900.7308333,895.76525
10/30/13,1037.43,1037.51,1026,1030.42,1324100,1030.42,1024.482,1006.432,939.2205,898.3986667,894.4898333
10/29/13,1019.1,1036.94,1013.5,1036.24,1605000,1036.24,1024.68,993.193,932.099,896.1678333,893.23825
10/28/13,1015.2,1023.43,1012.99,1015,1158700,1015,1018.832,977.77,924.637,893.9805,891.86525
10/25/13,1028.82,1028.82,1010.74,1015.2,2030500,1015.2,1016.492,963.881,917.6825,892.1733333,890.6871667
10/24/13,1031.87,1040.57,1024.8,1025.55,2092100,1025.55,1015.734,949.56,910.742,890.3236667,889.37075
10/23/13,1001,1034.75,1000.63,1031.41,2663200,1031.41,988.382,933.829,903.373,888.027,888.0040833
10/22/13,1005,1013,995.79,1007,2208600,1007,961.706,916.274,895.664,885.6855,886.4566667
10/21/13,1011.46,1019,999.55,1003.3,3628300,1003.3,936.708,900.941,889.656,883.6066667,884.9784167
10/18/13,976.58,1015.46,974,1011.41,11566400,1011.41,911.27,887.185,883.816,881.6408333,883.4545
10/17/13,892.99,896.9,885.73,888.79,4256600,888.79,883.386,873.279,878.401,879.579,881.8975
10/16/13,885.87,898.33,884.01,898.03,2007600,898.03,879.276,872.009,878.881,879.8141667,881.3164167
10/15/13,875.76,885.63,874,882.01,1591900,882.01,870.842,871.005,879.1455,879.9103333,880.5113333
10/14/13,866.66,876.25,865.39,876.11,1243600,876.11,865.174,871.504,879.3505,880.3885,879.90375
10/11/13,866.03,873.48,865.3,871.99,1408900,871.99,863.1,871.484,879.933,880.73,879.3815833
10/10/13,863.84,868.83,860.21,868.24,2255300,868.24,863.172,871.924,880.787,881.3748333,878.8475
10/9/13,856.28,862.65,842.98,855.86,2651300,855.86,864.742,872.917,882.028,882.2133333,878.27975
10/8/13,865.32,865.98,851.63,853.67,1943700,853.67,871.168,875.054,884.0445,883.2758333,877.8131667
10/7/13,867.45,873.99,864.11,865.74,1293600,865.74,877.834,878.371,885.7945,884.4595,877.0818333
10/4/13,875,877.51,870,872.35,1358000,872.35,879.868,880.447,886.91,885.4138333,876.3886667
10/3/13,888,894.1,872.1,876.09,2117000,876.09,880.676,883.523,887.2715,886.212,875.7305
